app_id,app_resource_name,resource_cost
103,Rosa acicularis Lindl.,2.64
135,Galium californicum Hook. & Arn. ssp. primum Dempster & Stebbins,23.81
144,Penstemon ovatus Douglas ex Hook.,67.2
121,Stipulicida setacea Michx. var. setacea,67.8
124,Erigeron peregrinus (Banks ex Pursh) Greene ssp. callianthemus (Greene) Cronquist var. callianthemus,44.83
114,Astragalus curvicarpus (A. Heller) J.F. Macbr. var. curvicarpus,1.66
108,Astragalus mollissimus Torr. var. bigelovii (A. Gray) Barneby ex B.L. Turner,44.24
145,Lupinus excubitus M.E. Jones,78.52
114,Carex amphibola Steud.,79.85
108,Psorothamnus arborescens (Torr. ex A. Gray) Barneby var. arborescens,53.85
140,Pediomelum aromaticum (Payson) W.A. Weber,11.06
109,Diplacus grandiflorus (Lindl.) Groenl.,0.19
105,Merremia cissoides (Lam.) Hallier f.,59.36
137,Lupinus elegans Kunth,78.29
139,Gentiana newberryi A. Gray,30.21
124,Synthyris pinnatifida S. Watson var. lanuginosa (Piper) Cronquist,64.56
129,Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. apricum (A. Gray) G.L. Nesom,92.12
149,Balsamorhiza macrolepis Sharp,55.82
133,Croton setigerus Hook.,34.57
137,Castilleja subinclusa Greene ssp. subinclusa,23.58
102,Clerodendrum aculeatum (L.) Schltdl.,93.61
129,Geum triflorum Pursh var. triflorum,20.18
110,Manilkara jaimiqui (C. Wright) Dubard,72.08
150,Philodendron marginatum Urb.,46.87
128,Alternanthera flavogrisea Urb.,99.54
137,Chamelaucium Desf.,35.91
132,Diphyscium cumberlandianum Harvill,89.21
129,Baileya Harv. & A. Gray ex A. Gray,89.27
141,Stenandrium Nees,70.79
120,Poa unilateralis Scribn. ssp. unilateralis,1.98
146,Joinvillea Gaudich. ex Brongn. & Gris,72.5
142,Frankenia L.,84.02
130,Dicoria canescens A. Gray ssp. clarkiae (Kennedy) D.D. Keck,92.19
106,Acalypha berteriana Müll. Arg.,23.85
136,Cinchona L.,90.06
114,Yucca glauca Nutt.,6.0
141,Peperomia hernandiifolia (Vahl) A. Dietr.,94.18
106,Manfreda variegata (Jacobi) Rose,82.4
113,Baccharis halimifolia L.,47.95
143,Chaetopappa asteroides Nutt. ex DC.,9.85
149,Mirabilis decipiens (Standl.) Standl.,49.27
110,Verrucaria calciseda DC.,57.1
121,Rubus kennedyanus Fernald,97.72
128,Eriophyllum congdonii Brandegee,31.06
124,Eurhynchium praelongum (Hedw.) Schimp.,12.97
124,Carex scirpoidea Michx. ssp. pseudoscirpoidea (Rydb.) Dunlop,89.15
139,Cyperus elegans L.,71.66
121,Selaginella wrightii Hieron.,98.67
126,Caragana frutex (L.) K. Koch,29.4
110,Cordylanthus ramosus Nutt. ex Benth.,79.87
113,Spergularia canadensis (Pers.) G. Don var. canadensis,8.03
149,Lycium exsertum A. Gray,79.78
125,Clematis versicolor Small ex Rydb.,75.06
148,Allium cepa L.,26.25
127,Sullivantia hapemanii (J.M. Coult. & Fisher) J.M. Coult. var. purpusii (Brand) Soltis,6.93
124,Elymus macrourus (Turcz.) Tzvelev,66.3
129,Artemisia australis Less.,88.27
102,Callisia rosea (Vent.) D.R. Hunt,42.8
140,Elodea Michx.,19.82
101,Trifolium eriocephalum Nutt.,71.19
111,Spathiphyllum Schott,26.65
117,Carex macrochaeta C.A. Mey.,49.06
143,Chaenactis parishii A. Gray,98.81
114,Schoenocaulon texanum Scheele,36.56
113,Phalaris caroliniana Walter,96.47
101,Senna tora (L.) Roxb.,98.11
111,Astragalus monumentalis Barneby var. monumentalis,41.69
124,Potentilla acuminata H.M. Hall,78.02
138,Asterothyrium leucophthalmum (Müll. Arg.) R. Sant.,46.51
101,Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq.,58.49
138,Astragalus coltonii M.E. Jones var. coltonii,53.43
124,Tomentypnum Loeske,94.9
138,Cyperus surinamensis Rottb.,79.87
146,Turpinia Vent.,50.43
142,Buxus vahlii Baill.,83.51
145,Paspalum laeve Michx.,58.37
149,Cicuta maculata L.,4.32
117,Agarista populifolia (Lam.) W.S. Judd,2.94
147,Agrostemma L.,66.68
107,Spathoglottis plicata Blume,76.48
136,Streptanthus longisiliquus G. Clifton & R.E. Buck,17.07
141,Astragalus preussii A. Gray var. laxiflorus A. Gray,22.16
120,Lantana depressa Small var. floridana (Moldenke) R.W. Sanders,65.01
118,Lunania ekmanii Urb.,84.49
105,Antennaria rosea Greene,31.64
102,Ipomoea setosa Ker Gawl.,99.7
143,Tayloria froelichiana (Hedw.) Mitt. ex Broth.,73.47
129,Chaenotheca phaeocephala (Turner) Th. Fr.,90.85
138,Trichostema setaceum Houtt.,51.81
143,Labordia tinifolia A. Gray var. wahiawaensis H. St. John,22.46
120,Nephrolepis rivularis (Vahl) Mett. ex Krug,38.52
126,Helianthus ×brevifolius E.E. Watson (pro sp.),50.65
115,Errazurizia Phil.,28.07
129,Abutilon parvulum A. Gray,19.65
137,Viola oahuensis Forbes,80.7
108,Monochoria hastata (L.) Solms [excluded],40.09
147,Muhlenbergia tenuifolia (Kunth) Trin.,40.65
128,Argemone ochroleuca Sweet,36.86
126,Lophiola Ker Gawl.,99.26
144,Puccinellia nutkaensis (J. Presl) Fernald & Weath.,67.79
128,Stenandrium Nees,50.81
109,Calamagrostis expansa (Munro ex Hillebr.) Hitchc.,39.38
111,Physalis walteri Nutt.,47.55
101,Lepraria neglecta (Nyl.) Erichsen,68.09
136,Phacelia pulchella A. Gray var. gooddingii (Brand) J.T. Howell,37.3
106,Alyssum obovatum (C.A. Mey.) Turcz.,16.1
129,Romanzoffia unalaschcensis Cham. var. glabriuscula Hultén,93.11
140,Larrea tridentata (DC.) Coville var. tridentata,44.7
106,Monardella candicans Benth.,95.34
106,Quercus ×fontana Laughlin,11.73
135,Pentzia incana (Thunb.) Kuntze,98.66
120,Allium triquetrum L.,97.79
110,Astragalus simplicifolius (Nutt.) A. Gray,92.7
113,Ardisia crenata Sims,86.08
116,Equisetum ×nelsonii (A.A. Eaton) Schaffn. (pro sp.),95.64
146,Distictis lactiflora (Vahl) DC.,23.71
128,Aristida portoricensis Pilg.,12.22
103,Ranunculus glacialis L.,93.73
142,Platygyrium fuscoluteum Cardot,73.96
119,Scribneria bolanderi (Thurb.) Hack.,65.57
149,Pistacia terebinthus L.,64.08
141,Myrinia pulvinata (Wahlenb.) Schimp.,6.03
110,Stachys palustris L.,15.48
108,Amaranthus spinosus L.,19.93
100,Draba ramulosa Rollins,10.54
119,Lecanora cinereofusca H. Magn. var. appalachensis Brodo,58.39
124,Carex lurida Wahlenb.,90.51
120,Chamerion latifolium (L.) Holub,63.94
122,Astragalus lentiginosus Douglas ex Hook. var. vitreus Barneby,85.86
148,Dryas drummondii Richardson ex Hook.,0.57
134,Robinia ×margarettiae Ashe (pro sp.),81.71
127,Muhlenbergia repens (J. Presl) Hitchc.,98.49
141,Enemion occidentale (Hook. & Arn.) J.R. Drumm. & Hutch.,99.72
107,Carpobrotus edulis (L.) L. Bolus,10.19
135,Lysimachia mauritiana Lam.,1.83
122,Palafoxia callosa (Nutt.) Torr. & A. Gray,83.5
144,Dioscorea nummularia Lam.,8.58
131,Cardamine douglassii Britton,59.62
117,Lupinus latifolius Lindl. ex J. Agardh ssp. longipes (Greene) Kenney & D. Dunn,1.36
130,Lecanora thallophila H. Magn.,93.67
142,Penstemon havardii A. Gray,35.41
102,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray,76.64
134,Hydrophyllum capitatum Douglas ex Benth. var. thompsonii (M. Peck) Constance,67.11
138,Senna artemisioides (Gaudich. ex DC.) Randell ssp. ×sturtii (R. Br.) Randell,7.81
137,Crataegus ater Ashe,10.91
130,Astragalus gambelianus Sheldon,63.96
145,Lilium maritimum Kellogg,51.9
149,Ligusticum californicum J.M. Coult. & Rose,44.12
106,Stenocybe pullatula (Ach.) Stein,60.68
122,Myriophyllum alterniflorum DC.,58.28
113,Buellia maritima (A. Massal.) Bagl.,90.14
140,Machaeranthera canescens (Pursh) A. Gray ssp. glabra (A. Gray) B.L. Turner var. nebraskana B.L. Turner,51.15
129,Linum floridanum (Planch.) Trel. var. chrysocarpum C.M. Rogers,24.23
137,Datisca L.,31.74
142,Ernodea cokeri Britton ex Coker,11.34
114,Schiedea spergulina A. Gray var. leiopoda Sherff,98.69
108,Hymenophyllum asplenioides (Sw.) Sw.,20.42
147,Cylindropuntia (Engelm.) Kreuzinger,21.4
111,Maclura tinctoria (L.) D. Don ex Steud.,35.02
130,Dryas ×wyssiana Beauverd,8.88
131,Pinus radiata D. Don,8.79
150,Thrinax Sw.,48.76
141,Tetraclea A. Gray,94.75
108,Olneya A. Gray,98.4
114,Ranunculus alismifolius Geyer ex Benth.,97.51
124,Calochortus dunnii Purdy,85.38
113,Kalmia carolina Small,40.17
139,Vitis cinerea (Engelm.) Engelm. ex Millard var. floridana Munson,44.3
106,Thymophylla pentachaeta (DC.) Small var. pentachaeta,16.48
103,Asplenium ×sphenocookii W.H. Wagner,40.77
120,Ramalina dendriscoides Nyl.,12.91
129,Euphorbia lancifolia Schltdl.,25.67
142,Trautvetteria caroliniensis (Walter) Vail,33.95
137,Saxifraga marshallii Greene,95.29
111,Copaifera officinalis (Jacq.) L.,26.45
110,Leymus simplex (Scribn. & T.A. Williams) D.R. Dewey,3.68
127,Quercus ×mutabilis Palmer & Steyerm.,78.58
102,Janusia gracilis A. Gray,63.06
110,Potentilla argentea L.,84.4
112,Cnidoscolus aconitifolius (Mill.) I.M. Johnst.,44.52
148,Lyonia mariana (L.) D. Don,1.53
134,Celtis bungeana Blume,59.91
118,Leptobryum (Bruch & Schimp.) Wilson,10.27
134,Desmodium lineatum DC.,0.83
105,Scirpus atrovirens Willd.,64.2
120,Phlox andicola E.E. Nelson ssp. parvula Wherry,81.52
131,Tetradymia filifolia Greene,95.01
100,Lupinus citrinus Kellogg var. deflexus (Congd.) Jeps.,69.07
104,Tortella inclinata (R. Hedw.) Limpr.,77.32
125,Stephanomeria thurberi A. Gray,94.82
133,Viburnum rhytidophyllum Hemsl.,33.65
137,Woodsia ×gracilis (G. Lawson) Butters,61.65
104,Ramonia microspora Vezda,27.66
141,Eucrypta Nutt.,57.29
122,Rubus ulmifolius Schott var. anoplothyrsus Sudre,87.95
119,Ptychosperma elegans (R. Br.) Blume,46.79
141,Uniola L.,57.72
112,Rubus latens L.H. Bailey,87.5
120,Celtis occidentalis L.,2.32
120,Prosthechea boothiana (Lindl.) W.E. Higgins var. erythronioides (Small) W.E. Higgins,71.61
103,Leptochloa digitata (R. Br.) Domin,46.13
123,Arctostaphylos refugioensis Gankin,1.49
141,Draba paucifructa Clokey & C.L. Hitchc.,16.66
126,Racodium Pers. ex Fr.,27.39
142,Gracilariopsis chorda (Holmes) Ohmi,25.87
117,Bromus racemosus L.,62.33
143,Erigeron ovinus Cronquist,10.38
138,Salix viminalis L.,50.19
148,Lupinus agardhianus A. Heller,24.06
120,Bromus lepidus Holmb.,45.8
139,Paspalum hieronymi Hack.,68.11
101,Bertholletia excelsa Humb. & Bonpl.,97.67
128,Streptanthus brachiatus F.W. Hoffm. ssp. hoffmanii Dolan & LaPre,39.45
109,Skimmia Thunb.,1.81
104,Ribes montigenum McClatchie,43.09
122,Astragalus shevockii Barneby,22.33
115,Astragalus tibetanus Benth. ex Bunge,41.02
113,Phaeocalicium praecedens (Nyl.) A.F.W. Schmidt,54.32
138,Lilium pyrophilum M.W. Skinner & Sorrie,78.56
140,Polygala glandulosa Kunth,37.21
138,Atriplex canescens (Pursh) Nutt.,79.93
103,Astragalus lentiginosus Douglas ex Hook. var. semotus Jeps.,64.95
128,Oxalis rugeliana Urb.,63.69
137,Myrsine degeneri Hosaka,59.45
108,Polygonum achoreum S.F. Blake,15.22
101,Rubus rosifolius Sm.,38.01
134,Balsamorhiza hookeri (Hook.) Nutt. var. idahoensis (Sharp) Cronquist,39.78
113,Xyris stricta Chapm.,25.59
137,Asclepias pumila (A. Gray) Vail,58.14
102,Cercidospora Körb.,97.46
100,Astragalus reventus A. Gray,0.91
120,Tabebuia Gomes ex DC.,27.13
119,Dyschoriste schiedeana (Nees) Kuntze var. decumbens (A. Gray) Henrickson,17.28
102,Dicerandra linearifolia (Elliott) Benth. var. linearifolia,40.56
147,Parthenium hispidum Raf.,0.8
100,Melilotus officinalis (L.) Lam.,63.91
130,Elaphoglossum Schott ex J. Sm.,20.85
147,Phanerophlebia C. Presl,65.45
132,Rubus multifer L.H. Bailey,36.81
125,Cyperus cuspidatus Kunth,62.37
147,Hirtella rugosa Thuill. ex Pers.,89.1
116,Symphyotrichum drummondii (Lindl.) G.L. Nesom,22.59
116,Eleocharis elegans (Kunth) Roem. & Schult.,31.1
137,Lecanora albula (Nyl.) Hue,29.37
118,Solanum tampicense Dunal,69.91
106,Aster tataricus L. f.,82.01
101,Physconia perisidiosa (Erichsen) Moberg,83.72
105,Congea tomentosa Roxb.,95.67
148,Rinodina subsophodes (Nyl.) Zahlbr.,77.49
131,Malacothrix foliosa A. Gray,22.53
129,Leptosiphon montanus (Greene) J.M. Porter & L.A. Johnson,90.74
140,Philadelphus inodorus L.,8.95
100,Bidens micrantha Gaudich. ssp. ctenophylla (Sherff) Nagata & Ganders,8.07
104,Corispermum navicula Mosyakin,45.27
127,Juncus megacephalus M.A. Curtis,94.59
113,Caesalpinia wootonii (Britton) Eifert ex Isely,60.33
142,Gleditsia ×texana Sarg. (pro sp.),1.07
109,Viola lanceolata L. ssp. occidentalis (A. Gray) N.H. Russell,9.41
129,Eriogonum lonchophyllum Torr. & A. Gray,70.5
140,Hygroamblystegium tenax (Hedw.) Jenn. var. tenax,23.4
116,Micarea prasina Fr.,81.34
110,Silene hookeri Nutt. ssp. serpentinicola (T.W.Nelson & J.P.Nelson) K.L. Chambers & S.C. Meyers,15.8
123,Symphyotrichum novi-belgii (L.) G.L. Nesom var. novi-belgii,36.96
145,Diapensia lapponica L. var. obovata F. Schmidt,59.97
120,Lupinus croceus Eastw.,39.02
129,Brickellia eupatorioides (L.) Shinners,37.59
133,"Thelesperma burridgeanum (Regel, Korn. & Rach.) S.F. Blake",5.72
129,Festuca idahoensis Elmer ssp. roemeri (Pavlick) S. Aiken,4.55
138,Arenaria fendleri A. Gray,44.97
123,Metaplexis japonica (Thunb.) Makino,13.18
114,Clematis occidentalis (Hornem.) DC. var. grosseserrata (Rydb.) J. Pringle,9.09
129,Physcia convexa Nyl.,51.11
121,"Festuca molokaiensis Soreng, P.M. Peterson, & Catalán",4.61
101,Elatine ambigua Wight,69.24
135,Draba glabella Pursh var. glabella,8.89
147,Arthonia rhoidis Zahlbr.,61.87
134,Nepsera Naud.,22.04
109,Reinkella Darbish.,60.05
107,Cryptantha gracilis Osterh.,51.35
115,Micropholis (Griseb.) Pierre,67.01
108,Cerastium dichotomum L.,47.47
106,Trifolium mucronatum Willd. ex Spreng. ssp. lacerum (Greene) J.M. Gillett,28.23
112,Zinnia grandiflora Nutt.,87.52
110,Cymopterus purpurascens (A. Gray) M.E. Jones,53.79
123,Chionanthus axilliflorus (Griseb.) Stearn,22.47
144,Phaeographis dendritica (Ach.) Müll. Arg.,26.09
128,Ephedra antisyphilitica Berl. ex C.A. Mey.,25.57
128,Balsamorhiza hookeri (Hook.) Nutt. var. hispidula (Sharp) Cronquist,96.24
116,Eriogonum ochrocephalum S. Watson var. alexandrae Reveal,52.48
123,Laennecia schiedeana (Less.) G.L. Nesom,21.73
124,Severinia buxifolia (Poir.) Ten.,77.86
132,Penstemon tubaeflorus Nutt. var. tubaeflorus,15.56
147,Ardisia crenata Sims,38.14
145,Atriplex halimus L.,33.63
142,Crucianella L.,21.07
125,Amelanchier humilis Wiegand,36.93
107,Caucalis platycarpos L.,65.47
129,Eichhornia crassipes (Mart.) Solms,43.05
131,Thelypodium crispum Greene ex Payson,29.72
135,Edgeworthia Meisn.,36.14
130,Cyphelium sessile (Pers.) Trevis.,37.97
144,Eugenia koolauensis O. Deg.,24.61
110,Desmodium styracifolium (Osbeck) Merr.,66.32
114,Hydrophyllum appendiculatum Michx.,92.13
142,Sphagnum lindbergii Schimp.,52.61
105,Lomatium cusickii (S. Watson) J.M. Coult. & Rose,23.7
142,Fuscidea V. Wirth & Vezda,14.09
103,Orthotrichum lyellii Hook. & Taylor,68.69
138,Marsilea villosa Kaulf.,51.25
149,Salvia micrantha Vahl var. micrantha,43.68
139,Hypoxis juncea Sm.,3.89
141,Ipomoea macrorhiza Michx.,91.39
109,Umbilicaria Hoffm.,41.54
132,Cyrtandra ×rockii H. St. John & Storey (pro sp.),38.92
147,Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray ssp. valida (Greene) C.L. Hitchc.,9.96
135,Polygonum arenastrum Jord. ex Boreau,44.04
140,Romneya trichocalyx Eastw.,27.32
141,Chamaesyce pediculifera (Engelm.) Rose & Standl.,72.44
114,Rubus occidentalis L.,99.79
127,Phlox glaberrima L. ssp. interior (Wherry) Wherry,41.99
105,Rinodina turfacea (Wahlenb.) Körb.,0.03
150,Keckiella breviflora (Lindl.) Straw ssp. breviflora,60.3
101,Rhus aromatica Aiton var. serotina (Greene) Rehder,32.91
106,Bromus briziformis Fisch. & C.A. Mey.,35.6
149,Celmisia Cass.,24.35
104,Fissidens littlei (R.S. Williams) Grout,97.11
131,Rhizocarpon grande (Flörke ex Flotow) Arnold,81.42
128,Verrucaria internigrescens (Nyl.) Erichsen,25.5
100,Trematolobelia kauaiensis (Rock) Skottsb.,82.64
103,Tetradymia canescens DC.,61.53
124,Castilleja rubicundula (Jeps.) T.I. Chuang & Heckard ssp. lithospermoides (Benth.) T.I. Chuang & Heckard,28.42
126,Cypselea Turp.,45.88
116,Erigeron bloomeri A. Gray var. pubens D.D. Keck,3.62
125,Amaranthus lineatus R. Br.,23.32
128,Corydalis caseana A. Gray ssp. brandegeei (S. Watson) G.B. Ownbey,7.89
132,Helianthus hirsutus Raf.,47.01
125,Paspalum nicorae Parodi,62.96
113,Ludwigia glandulosa Walter,48.14
140,Ribes curvatum Small,38.91
139,Neobeckia aquatica (Eaton) Greene,4.28
149,Elymus macrourus (Turcz.) Tzvelev,23.16
105,Astragalus yoder-williamsii Barneby,26.14
132,Taxithelium Spruce ex Mitt.,70.35
110,Psora Hoffm.,88.77
138,Physalis subulata Rydb. var. neomexicana (Rydb.) Waterf. ex Kartesz & Gandhi,3.26
115,Delphinium L.,92.19
108,Fimbristylis caroliniana (Lam.) Fernald,89.92
150,Trautvetteria caroliniensis (Walter) Vail var. occidentalis (A. Gray) C.L. Hitchc.,86.37
137,Acacia pycnantha Benth.,49.71
115,Nolina bigelovii (Torr.) S. Watson,72.03
110,Funastrum Fourn.,2.49
107,Parthenium tetraneuris Barneby,78.03
122,Psorotichia segregata (Nyl.) Hasse,24.52
108,Malacothamnus davidsonii (B.L. Rob.) Greene,73.82
139,Chamaesyce celastroides (Boiss.) Croizat & O. Deg. var. lorifolia (A. Gray) O. Deg. & I. Deg.,66.06
107,Quercus shumardii Buckley,18.25
147,Desmodium tenuifolium Torr. & A. Gray,27.36
124,Phyllanthus abnormis Baill. var. abnormis,27.55
129,Ochrolechia szatalaensis Verseghy,88.14
121,Stellaria calycantha (Ledeb.) Bong.,28.77
118,Callitriche palustris L.,15.01
142,Penstemon sepalulus A. Nelson,35.77
120,Lasthenia conjugens Greene,64.85
112,Lecidea auriculata Th. Fr.,13.99
136,Ipomopsis tenuituba (Rydb.) V.E. Grant ssp. tenuituba,44.7
123,Indigofera trifoliata L.,37.32
130,Juncus macrophyllus Coville,44.14
129,Eurhynchium Schimp.,76.32
140,Albizia procera (Roxb.) Benth.,53.93
118,Dasylirion texanum Scheele,76.11
104,Parthenium confertum A. Gray,89.11
137,Dryobalanops aromatica C.F. Gaertn.,28.07
100,Perityle rupestris (A. Gray) Shinners,80.53
142,Funaria groutiana Fife,36.94
101,Hepatica nobilis Schreb. var. acuta (Pursh) Steyerm.,73.14
109,Thelypteris simulata (Davenport) Nieuwl.,3.3
113,Allium bigelovii S. Watson,45.32
143,Juncus regelii Buchenau,98.4
129,Oenothera fruticosa L. ssp. tetragona (Roth) W.L. Wagner,91.12
121,Rhabdoweisia crispata (With.) Lindb.,81.92
129,Calochortus monophyllus (Lindl.) Lem.,41.19
137,Pieris japonica (Thunb.) D. Don ex G. Don,27.88
146,Eriogonum brevicaule Nutt. var. brevicaule,88.46
126,Carex lugens T. Holm,69.31
101,Magnolia fraseri Walter,36.11
145,Nemacladus rigidus Curran,63.12
100,Phacelia stebbinsii Constance & Heckard,73.57
109,Erigeron bloomeri A. Gray var. bloomeri,22.35
118,Eupatorium serotinum Michx.,89.77
105,Scheuchzeria palustris L. ssp. americana (Fernald) Hultén,53.28
130,Gladiolus tristis L.,16.13
150,Polygala nana (Michx.) DC.,43.1
116,Potentilla bimundorum Soják,91.15
118,Plectritis (Lindl.) DC.,49.61
121,Rhizomnium glabrescens (Kindb.) T. Kop.,99.4
146,Calicium abietinum Pers.,92.92
135,Pinaropappus roseus (Less.) Less. var. roseus,91.72
103,Cladina ciliata (Stirt.) Trass,66.59
111,Valerianella locusta (L.) Lat.,94.07
139,Hornungia procumbens (L.) Hayek,75.29
137,Arabis alpina L.,21.11
146,Allium peninsulare Lemmon ex Greene var. peninsulare,65.05
143,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. salmonensis (L.C. Anderson) G.L. Nesom & Baird,45.29
143,Rubus pascuus L.H. Bailey,81.21
145,Tholurna Norman,42.07
125,Listera caurina Piper,42.61
128,Ipomoea ternifolia Cav.,23.36
102,Penstemon bicolor (Brandegee) Clokey & D.D. Keck ssp. bicolor,53.25
118,Fuscidea V. Wirth & Vezda,35.06
123,Rhus kearneyi F.A. Barkley,22.05
135,Staurothele fissa (Taylor) Zwackh,30.97
146,Pertusaria sinusmexicani Dibben,1.55
127,Lomatium salmoniflorum (J.M. Coult. & Rose) Mathias & Constance,93.62
134,Astragalus sabulonum A. Gray,84.78
101,Pentachaeta Nutt.,62.89
106,Verbena carolina L.,66.29
124,Echinacea simulata R.L. McGregor,76.26
102,Silene pendula L.,61.7
119,Beta lomatogona Fisch. & C.A. Mey.,63.65
123,Lecidea theodori Lynge,65.2
118,Sauropus androgynus (L.) Merr.,48.01
125,Agrimonia eupatoria L.,30.19
107,Euphorbia exserta (Small) Coker,76.56
120,Rubus signatus L.H. Bailey,16.33
108,Allophylus racemosus Sw.,46.64
127,Callistemon R. Br.,41.4
116,Boswellia papyrifera (Delile ex Caill.) Hochst.,97.35
147,Gyalecta herrei Vezda,89.25
137,Clermontia arborescens (H. Mann) Hillebr. ssp. waihiae (Wawra) Lammers,74.04
111,Astragalus cremnophylax Barneby var. hevronii Barneby,41.51
106,Charpentiera ovata Gaudich.,51.88
118,Acacia tortuosa (L.) Willd.,49.24
120,Fuirena simplex Vahl var. simplex,51.97
119,Plagiobothrys mollis (A. Gray) I.M. Johnst. var. vestitus (Greene) I.M. Johnst.,54.38
148,Packera eurycephala (Torr. & A. Gray) W.A. Weber & Á. Löve var. eurycephala,72.24
117,Stenogyne rugosa Benth.,85.44
138,Schiedea pentamera W.L. Wagner & E. Harris,73.86
105,Rudbeckia californica A. Gray,67.83
110,Schistidium andreaeopsis (Müll. Hal.) Laz.,20.7
108,Streptanthus maculatus Nutt. ssp. obtusifolius (Hook.) Rollins,95.94
108,Astragalus panamintensis Sheldon,33.22
115,Botrychium pumicola Coville ex Underw.,95.05
137,Monarda punctata L. ssp. punctata var. occidentalis (Epling) Palmer & Steyerm.,85.09
107,Hymenophyllum asplenioides (Sw.) Sw.,80.35
140,Aureolaria pedicularia (L.) Raf. var. ambigens (Fernald) Farw.,30.58
124,×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey,32.6
105,Brickellia oblongifolia Nutt. var. oblongifolia,63.84
112,Carex californica L.H. Bailey,44.36
136,Lindernia antipoda (L.) Alston,47.61
148,Mammillaria heyderi Muehlenpf.,72.51
129,Eranthemum L.,13.43
133,Cupaniopsis Radlk.,37.51
101,Layia fremontii (Torr. & A. Gray) A. Gray,83.0
102,Cryptantha subcapitata Dorn & Lichvar,43.4
104,Lithospermum multiflorum Torr. ex A. Gray,72.05
122,Lomatium triternatum (Pursh) J.M. Coult. & Rose var. triternatum,91.6
130,Orbexilum stipulatum (Torr. & A. Gray) Rydb.,90.24
105,Astragalus atratus S. Watson var. atratus,69.11
146,Gilia cana (M.E. Jones) A. Heller,75.62
110,Ardisia japonica (Thunb.) Blume,7.46
119,Conardia compacta (Müll. Hal.) H. Rob.,16.64
136,Evolvulus nuttallianus Schult.,68.42
121,Polygonum scandens L.,93.02
118,Matelea floridana (Vail) Woodson,9.0
144,Opuntia tomentosa Salm-Dyck,42.72
108,Stenaria rupicola (Greenm.) Terrell,29.92
108,Allium perdulce S.V. Fraser var. perdulce,90.57
130,Metaneckera Steere,77.7
130,Eucephalus paucicapitatus (B.L. Rob.) Greene,21.47
117,Muhlenbergia ramulosa (Kunth) Swallen,18.5
115,Hevea brasiliensis (Willd. ex A. Juss.) Müll. Arg.,82.91
142,Lonicera sempervirens L.,75.93
104,Ixora pavetta Andrews,35.41
126,Salix gooddingii C.R. Ball,69.56
116,Vernonia larseniae B.L. King & S.B. Jones,74.11
112,Neckeropsis Reichardt,65.6
132,Atriplex amnicola Paul G. Wilson,98.84
132,Cissus antarctica Venten.,62.13
118,Xenostegia tridentata (L.) Austin & Staples,80.1
117,Amianthium A. Gray,91.18
125,Elaphoglossum martinicense (Desv.) T. Moore,15.39
128,Nolina arenicola Correll,40.8
148,Crepis occidentalis Nutt.,89.6
110,Galium hypotrichium A. Gray ssp. subalpinum (Hilend & J.T. Howell) Ehrend.,27.04
110,Desmanthus acuminatus Benth.,73.74
127,Agoseris heterophylla (Nutt.) Greene var. crenulata Jeps.,24.65
123,Frasera tubulosa Coville,72.97
150,Acarospora macrospora (Hepp) Bagl.,62.44
114,Solanum sessiliflorum Dunal,55.47
114,Lyonia ligustrina (L.) DC. var. foliosiflora (Michx.) Fernald,9.5
121,Jacquemontia ovalifolia (Vahl ex West) Hallier f. ssp. obcordata (Millsp.) K.R. Robertson,28.64
143,Distictis buccinatoria (DC.) A.H. Gentry,79.67
118,Ranunculus eastwoodianus L.D. Benson,58.95
125,Pinaropappus parvus S.F. Blake,68.82
112,Viola lanceolata L. ssp. lanceolata,27.34
137,Atriplex canescens (Pursh) Nutt. var. macilenta Jeps.,82.93
146,Zephyranthes candida (Lindl.) Herb.,23.33
148,Ceanothus papillosus Torr. & A. Gray var. roweanus McMinn,38.24
121,Eriogonum tenellum Torr. var. platyphyllum (Torr. ex Benth.) Torr.,5.33
130,Echinocereus papillosus Linke ex Rümpler var. angusticeps (Clover) W.T. Marshall,23.84
